,Data,Equalizacao,Eq D-1,SAO,Efluente D-1,phEntrada,phNeutralizacao,phEqualizacao,phAeracao,OD,VLodoSD30,VAeracao,VEqualizacao,Desenquadrou
232,1/28/2019,406.0,221.0,62.0,138.0,9.6,9.0,7.0,7.0,2.8,900.0,218.0,628.0,0
233,1/29/2019,397.0,406.0,75.0,145.0,8.5,8.0,7.0,7.0,2.6,850.0,192.0,632.0,0
234,1/30/2019,491.0,397.0,94.0,235.0,9.5,6.0,8.0,7.0,2.7,870.0,200.0,632.0,0
235,2/4/2019,280.0,491.0,56.0,193.0,9.1,7.0,7.0,7.0,2.85,890.0,246.0,638.0,0
236,2/5/2019,302.0,280.0,32.0,149.0,5.3,5.0,6.0,7.0,2.7,870.0,740.0,674.0,0
237,2/6/2019,230.0,302.0,88.0,113.0,6.6,10.0,7.0,7.0,2.75,870.0,626.0,636.0,0
238,2/7/2019,116.0,230.0,48.0,77.0,4.4,5.0,6.0,7.0,2.8,900.0,646.0,644.0,0
239,2/8/2019,161.0,116.0,41.0,101.0,10.5,10.0,6.0,7.0,2.91,910.0,534.0,628.0,0
240,2/11/2019,170.0,161.0,26.0,102.0,9.2,6.0,7.0,7.0,3.05,920.0,440.0,628.0,0
241,2/12/2019,124.0,170.0,29.0,88.0,8.8,7.0,7.0,7.0,2.92,910.0,340.0,630.0,0
242,2/13/2019,435.0,124.0,42.0,60.0,4.2,7.0,7.0,7.0,3.1,910.0,384.0,642.0,0
