,Data,Equalizacao,Eq D-1,SAO,Efluente D-1,phEntrada D-1,phNeutralizacao D-1,phEqualizacao D-1,phAeracao D-1,OD D-1,phEntrada,phNeutralizacao,phEqualizacao,phAeracao,OD,VLodoSD30,VAeracao,VEqualizacao,DiasDescarte,Desenquadrou
124,8/28/2018,204.0,183.0,182.0,75.0,3.3,6.0,6.3,6.9,2.69,9.7,6.5,7.0,6.8,2.61,890.0,264.0,630.0,15,0
125,8/29/2018,377.0,204.0,231.0,62.0,9.7,6.5,7.0,6.8,2.61,10.0,6.8,6.5,6.9,2.89,900.0,234.0,632.0,16,0
126,8/30/2018,411.0,377.0,217.0,77.0,10.0,6.8,6.5,6.9,2.89,9.6,6.2,6.7,6.8,3.13,910.0,230.0,636.0,17,0
127,8/31/2018,347.0,411.0,165.0,90.0,9.6,6.2,6.7,6.8,3.13,9.1,7.5,6.8,6.9,2.91,910.0,226.0,634.0,18,0
128,9/1/2018,440.0,347.0,165.0,76.0,9.1,7.5,6.8,6.9,2.91,9.2,6.5,6.1,7.0,2.8,910.0,224.0,632.0,19,0
129,9/3/2018,443.0,440.0,165.0,112.0,9.2,6.5,6.1,7.0,2.8,8.5,6.5,7.1,6.8,2.74,910.0,236.0,640.0,20,0
130,9/4/2018,363.0,443.0,247.0,91.0,8.5,6.5,7.1,6.8,2.74,6.9,4.0,6.8,7.0,2.65,890.0,274.0,634.0,0,0
131,9/5/2018,323.0,363.0,236.0,81.0,6.9,4.0,6.8,7.0,2.65,4.3,4.2,6.8,6.9,2.69,900.0,250.0,624.0,1,0
132,9/6/2018,354.0,323.0,247.0,117.0,4.3,4.2,6.8,6.9,2.69,7.7,5.2,7.3,7.0,2.98,910.0,260.0,630.0,2,0
133,9/8/2018,212.0,354.0,192.0,96.0,7.7,5.2,7.3,7.0,2.98,7.1,6.0,6.8,6.9,2.69,890.0,238.0,634.0,3,0
134,9/10/2018,465.0,212.0,216.0,71.0,7.1,6.0,6.8,6.9,2.69,6.3,9.0,6.8,6.9,2.2,870.0,308.0,638.0,4,0
135,9/11/2018,884.0,465.0,236.0,65.0,6.3,9.0,6.8,6.9,2.2,5.2,4.2,6.3,7.0,2.29,890.0,250.0,634.0,5,0
136,9/12/2018,624.0,884.0,197.0,99.0,5.2,4.2,6.3,7.0,2.29,6.6,4.0,6.5,6.9,2.32,880.0,240.0,634.0,6,0
137,9/13/2018,385.0,624.0,228.0,93.0,6.6,4.0,6.5,6.9,2.32,9.9,4.1,6.5,7.2,2.47,880.0,240.0,634.0,7,0
138,9/14/2018,455.0,385.0,207.0,139.0,9.9,4.1,6.5,7.2,2.47,10.7,10.0,6.5,7.1,2.5,880.0,252.0,634.0,8,0
139,9/15/2018,299.0,455.0,86.0,151.0,10.7,10.0,6.5,7.1,2.5,7.7,4.0,6.0,7.0,2.63,880.0,422.0,636.0,9,0
140,9/17/2018,316.0,299.0,87.0,166.0,7.7,4.0,6.0,7.0,2.63,3.8,5.0,6.4,7.0,2.51,870.0,364.0,640.0,10,0
141,9/18/2018,235.0,316.0,117.0,119.0,3.8,5.0,6.4,7.0,2.51,8.8,6.5,6.6,6.9,2.71,880.0,282.0,642.0,11,0
142,9/19/2018,250.0,235.0,130.0,141.0,8.8,6.5,6.6,6.9,2.71,7.9,6.0,6.5,6.9,2.68,880.0,226.0,636.0,12,0
143,9/20/2018,379.0,250.0,124.0,79.0,7.9,6.0,6.5,6.9,2.68,3.2,4.7,7.3,7.1,2.55,830.0,248.0,636.0,13,0
144,9/21/2018,127.0,379.0,395.0,75.0,3.2,4.7,7.3,7.1,2.55,5.0,9.0,7.5,7.0,2.6,860.0,248.0,636.0,14,0
145,9/22/2018,313.0,127.0,123.0,90.0,5.0,9.0,7.5,7.0,2.6,2.5,9.2,7.0,6.9,2.73,880.0,212.0,638.0,15,0
146,9/24/2018,302.0,313.0,146.0,117.0,2.5,9.2,7.0,6.9,2.73,10.5,9.5,7.5,7.0,2.28,850.0,252.0,674.0,16,0
147,9/25/2018,397.0,302.0,122.0,86.0,10.5,9.5,7.5,7.0,2.28,5.6,10.0,6.2,6.9,2.49,860.0,188.0,634.0,17,0
